Date,Time,Workdone,Toolused
18/4/2016,8.30-10.30,finding research paper that use novoalign on two model organism Zea may and Arabidopsis thaliana,iceweasel
18/4/2016,10.30-12.30,finding related genome/gene that related to the journal that been use with novoalign,iceweasel
18/4/2016,2.30-5.30,download the related genome/gene and download the SRA toolkit to be use,iceseasel and terminal
19/4/2016,8.30-10.30,using wget download the SRA of the related genome that linked too paper,bash script
19/4/2016,10.30-12.30,produce bash script to download/unzip and combine the sra file,bash script
19/4/2016,2.30-5.30,run the fastqc/novoindex and novoalign on the selected genome based on parameter of the selected journal,fastqc and novoalign
20/4/2016,8.30-10.30,trying produce a pipeline to run the novoalign to get the bam file with one line,bash script
20/4/2016,10.30-12.30,test and re-work the pipeline to ensure it work and produce bam as output,terminal and bash script
20/4/2016,2.30-5.30,produce a pipeline using bash script that run from novoindex to get bam file with include the softlinked file,bash script that include novoindex/novoalign/novosort and samtools
21/4/2016,8.30-10.30,test the bash script pipeline to ensure it work on large dataset,bash script that include novoindex/novoalign/novosort and samtools
21/4/2016,10.30-12.30,redone the pipeline to follow all the parameter given based on the journal "Mutation Scanning in Wheat by Exon Capture and Next-Generation Sequencing",bash script that include novoindex/novoalign/novosort and samtools
21/4/2016,2.30-5.30,testing the novoclinic for any problem or how to use it,novoclinic
22/4/2016,8.30-10.30,testing the pipeline until the samtools that including conversion,sorting,index and duplicate remover with small dataset,bash script that include novoindex/novoalign/novosort and samtools
22/4/2016,10.30-12.30,testing the propose pipeline using same data from the journal,bash script that include novoindex/novoalign/novosort and samtools
22/4/2016,2.30-5.30,testing the novoclinic for any problem or how to use it,novoclinic
25/4/2016,8.30-10.30,retesting pipeline due to problem arise of missing @SAM header,Samtools 
25/4/2016,10.30-12.30,retesting pipeline due to problem arise of missing Z5 tags,NOVOSORT
25/4/2016,2.30-5.30,testing the pipeline until mpileup,bash script that include novoindex/novoalign/novosort and samtools
26/4/2016,8.30-10.30,testing the pipeline until until can be view with igv,novoindex/novoalign/novosort and samtools
26/4/2016,10.30-12.30,learning how to see the substitution/deletion and addition using bcftools,bcftools
26/4/2016,2.30-5.30,learning how to use ART to generate the read sequence,ART
27/4/2016,9.00-12.30,learning how to use ART and it function in set the benchmarking the sofware,ART 
27/4/2016,2.30-4.00,Learn and finding ways on how to compare the alignment file to see the different of mapped area and time of execution,ice weasel and samtools
28/4/2016,8.30-10.30,produce a bash script to produce a read based on illumina HS20 on the ART,ART and bash script
28/4/2016,10.30-12-30,produce a bash script to generate multiple sam file from novoalign based on the the generate read,novoalign 
28/4/2016,2.30-5.30,finding the way to get the mapped area vs actual mapped area ,samtool/bamutil and bash script 
29/4/2016,8.30-10.30,using time -verbose to get the time for each of the time script executed from start to finish,bash script terminal
29/4/2016,10.30-12.30,install bamUtill to be use as way to compare the sorted bam file,bamutil
29/4/2016,2.30-5.30,run the bash script to compare the bam file using sorted bam
3/5/2016,8.30-10.30,data entry for the time and alignment for the novoalign,csv and time--verbose
3/5/2016,10.30-12.30,finding the actual mapping area of the Sam file,bash script (grep)
3/5/2016,2.30-5.30,using picardtool to compare the alignment file of the sam file,picard
4/5/2016,8.30-10.30,plot the graph using R,R
4/5/2016,10.30-12.30,barplot the x and y for each of the criteria,R
4/5/2016,2.30-5.30,finding the actual speed of the process of novoalign and testing the novoclinic,novoclinic and iceweasel
5/5/2016,8.30-12.30,get the result into the barplot and table and put into the rmarkdown file,R and rmarkdown
5/5/2016,2.30-5.30,learning about picard and PHP to understand their function and how to use,iceweasel
6/5/2016,8.30-10.30,tune fining the result so it can be easily understand,R and rmarkdown
6/5/2016,10.30-12.30,presentation of the second project to get feedback,-
6/5/2016,2.30-5.30,produce 2-3 more result to get the average of the 3 result to ensure it is accurate,bash script
9/5/2016,8.30-10.30,using bash script to get more result to used as comparision from 1 result,bash script
9/5/2016,10.30-12.30,tabulate the data in order to easy to easy undersatand and be use in R,libra cal
