type,90full,90pt,90mt,90chr1,90chr2,90chr3,90chr4,90chr5
art,11946893,15440,36690,3026098,1969485,2344726,1858165,2696289
align,11945082,15424,36416,3025666,1969382,2344618,1858001,2695575
different,1811,16,274,432,103,108,164,714
type,100full,100pt,100mt,100chr1,100chr2,100chr3,100chr4,100chr5
art,11946893,15440,36690,3026098,1969485,2344726,1858165,2696289
align,11946255,15427,36422,3025975,1969578,2344864,1858188,2695801
different,638,13,268,123,-93,-138,-23,488
type,110full,110pt,110mt,110chr1,110chr2,110chr3,110chr4,110chr5
art,11946893,15440,36690,3026098,1969485,2344726,1858165,2696289
align,11946616,15427,36424,3026070,1969644,2344930,1858248,2695873
different,277,13,266,28,-159,-204,-83,416
type,154full,154pt,154mt,154chr1,154chr2,154chr3,154chr4,154chr5
art,11946893,15440,36690,3026098,1969485,2344726,1858165,2696289
align,11946770,15427,36424,3026110,1969673,2344963,1858267,2695906
different,123,13,266,-12,-188,-237,-102,383
type,7full,7pt,7mt,7chr1,7chr2,7chr3,7chr4,7chr5
art,11947054,15440,36690,3026098,1969485,2344726,1858165,2696289
align,11946918,15431,36858,3025208,1968876,2344531,1857854,2695452
different,136,9,-168,890,609,195,311,837
