type,90full,90pt,90mt,90chr1,90chr2,90chr3,90chr4,90chr5
art,11946893,15440,36690,3026098,1969485,2344726,1858165,2696289
align,11945082,15424,36416,3025666,1969382,2344618,1858001,2695575
Merge of art and align,11945082,15377,25125,3005947,1944276,2328829,1845618,2679465
type,100full,100pt,100mt,100chr1,100chr2,100chr3,100chr4,100chr5
art,11946893,15440,36690,3026098,1969485,2344726,1858165,2696289
align,11946255,15427,36422,3025975,1969578,2344864,1858188,2695801
merge of art and align,11945082,15380,25127,3006245,1944474,2329074,1845807,2679702
type,110full,110pt,110mt,110chr1,110chr2,110chr3,110chr4,110chr5
art,11946893,15440,36690,3026098,1969485,2344726,1858165,2696289
align,11946616,15427,36424,3026070,1969644,2344930,1858248,2695873
merge of art and align,11946616,15380,25128,3006340,1944537,2329138,1845868,2679772
type,154full,154pt,154mt,154chr1,154chr2,154chr3,154chr4,154chr5
art,11946893,15440,36690,3026098,1969485,2344726,1858165,2696289
align,11946770,15427,36424,3026110,1969673,2344963,1858267,2695906
merge of art and align,11946770,15380,25128,3006380,1944562,2329171,1845886,2679804
type,7full,7pt,7mt,7chr1,7chr2,7chr3,7chr4,7chr5
art,11947054,15440,36690,3026098,1969485,2344726,1858165,2696289
align,11946918,15431,36858,3025208,1968876,2344531,1857854,2695452
merge of art and align,11946918,15379,25443,3005521,1943823,2328592,1845238,2679062
